word,definition
bleeder's disease,congenital tendency to uncontrolled bleeding; usually affects males and is transmitted from mother to son
afibrinogenemia,the absence of fibrinogen in the plasma leading to prolonged bleeding
hemophilia A,hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
haemophilia A,hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
classical hemophilia,hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
classical haemophilia,hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
hemophilia B,a clotting disorder similar to hemophilia A but caused by a congenital deficiency of factor IX
haemophilia B,a clotting disorder similar to hemophilia A but caused by a congenital deficiency of factor IX
Christmas disease,a clotting disorder similar to hemophilia A but caused by a congenital deficiency of factor IX
von Willebrand's disease,a form of hemophilia discovered by Erik von Willebrand; a genetic disorder that is inherited as an autosomal recessive trait; characterized by a deficiency of the coagulation factor and by mucosal bleeding
angiohemophilia,a form of hemophilia discovered by Erik von Willebrand; a genetic disorder that is inherited as an autosomal recessive trait; characterized by a deficiency of the coagulation factor and by mucosal bleeding
vascular hemophilia,a form of hemophilia discovered by Erik von Willebrand; a genetic disorder that is inherited as an autosomal recessive trait; characterized by a deficiency of the coagulation factor and by mucosal bleeding
congenital afibrinogenemia,a rare congenital disorder of blood coagulation in which no fibrinogen is found in the blood plasma
inflammatory disease,a disease characterized by inflammation
gastroenteritis,inflammation of the stomach and intestines; can be caused by Salmonella enteritidis
stomach flu,inflammation of the stomach and intestines; can be caused by Salmonella enteritidis
intestinal flu,inflammation of the stomach and intestines; can be caused by Salmonella enteritidis
cholera infantum,often fatal form of gastroenteritis occurring in children; not true cholera but having similar symptoms
cholera morbus,severe gastroenteritis of unknown etiology; characterized by severe colic and vomiting and diarrhea
collywobbles,severe gastroenteritis of unknown etiology; characterized by severe colic and vomiting and diarrhea
pelvic inflammatory disease,inflammation of the female pelvic organs (especially the Fallopian tubes) caused by infection by any of several microorganisms (chiefly gonococci and chlamydia); symptoms are abdominal pain and fever and foul-smelling vaginal discharge
purulent pleurisy,a collection of pus in the lung cavity
pleuropneumonia,pleurisy and pneumonia
pyelitis,inflammation of the renal pelvis
sore throat,inflammation of the fauces and pharynx
pharyngitis,inflammation of the fauces and pharynx
peritonsillar abscess,a painful pus filled inflammation of the tonsils and surrounding tissues; usually a complication of tonsillitis
spasmodic laryngitis,a disease of infants and young children; harsh coughing and hoarseness and fever and difficult breathing
glossoptosis,abnormal downward or back placement of the tongue
hypermotility,excessive movement; especially excessive motility of the gastrointestinal tract
indisposition,a slight illness
amebic dysentery,inflammation of the intestines caused by Endamoeba histolytica; usually acquired by ingesting food or water contaminated with feces; characterized by severe diarrhea
amoebic dysentery,inflammation of the intestines caused by Endamoeba histolytica; usually acquired by ingesting food or water contaminated with feces; characterized by severe diarrhea
fascioliasis,infestation with the liver fluke Fasciola hepatica; liver damage sometimes occurs; related to liver rot
fasciolosis,infestation with the liver fluke Fasciola hepatica; liver damage sometimes occurs; related to liver rot
fasciolopsiasis,infestation with the large intestinal fluke Fasciolopsis buski; common in eastern Asia
Guinea worm disease,a painful and debilitating infestation contracted by drinking stagnant water contaminated with Guinea worm larvae that can mature inside a human's abdomen until the worm emerges through a painful blister in the person's skin
Guinea worm,a painful and debilitating infestation contracted by drinking stagnant water contaminated with Guinea worm larvae that can mature inside a human's abdomen until the worm emerges through a painful blister in the person's skin
dracunculiasis,a painful and debilitating infestation contracted by drinking stagnant water contaminated with Guinea worm larvae that can mature inside a human's abdomen until the worm emerges through a painful blister in the person's skin
